X,Y
-2100,-24020
-6324,-24020
-5268,-18740
-1044,-21908
-3156,-17684
-6324,-16628
-6324,-11348
-1044,-14516
3180,-17684
1068,-15572
3180,-12404
6348,-14516
-3156,-10292
-6324,-9236
-5268,-3956
-1044,-7124
3180,-9236
12,-5012
2124,-3956
5292,-6068
-3156,-1844
-6324,-1844
-4212,3436
-1044,268
4236,-2900
1068,268
3180,2380
6348,268
-5268,5548
-6324,7660
-4212,11884
-1044,7660
1068,4492
1068,8716
3180,10828
6348,7660
-5268,12940
-6324,16108
-6324,19276
-1044,15052
1068,12940
12,15052
2124,19276
5292,16108
-5268,20332
-6324,21388
-6324,26668
-1044,23500
2124,21388
12,22444
2124,26668
5292,23500
